date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration,year,month,month_name,conventional_vehicles_sold,quarter
2021-07-01,Sikkim,2-Wheelers,0,458,0.0,2021,7,Jul,458,3
2021-07-01,Sikkim,4-Wheelers,0,452,0.0,2021,7,Jul,452,3
2021-07-01,Tamil Nadu,2-Wheelers,2801,122808,2.28,2021,7,Jul,120007,3
2021-07-01,Tamil Nadu,4-Wheelers,88,20857,0.42,2021,7,Jul,20769,3
2021-07-01,Tripura,2-Wheelers,0,2211,0.0,2021,7,Jul,2211,3
2021-07-01,Tripura,4-Wheelers,0,352,0.0,2021,7,Jul,352,3
2021-07-01,Uttar Pradesh,2-Wheelers,303,215180,0.14,2021,7,Jul,214877,3
2021-07-01,Uttar Pradesh,4-Wheelers,8,27999,0.03,2021,7,Jul,27991,3
2021-07-01,Uttarakhand,2-Wheelers,76,12268,0.62,2021,7,Jul,12192,3
2021-07-01,Uttarakhand,4-Wheelers,11,4182,0.26,2021,7,Jul,4171,3
2021-07-01,West Bengal,2-Wheelers,36,76665,0.05,2021,7,Jul,76629,3
2021-07-01,West Bengal,4-Wheelers,37,8919,0.41,2021,7,Jul,8882,3
2021-08-01,Andaman & Nicobar Island,2-Wheelers,0,406,0.0,2021,8,Aug,406,3
2021-08-01,Andaman & Nicobar Island,4-Wheelers,1,110,0.91,2021,8,Aug,109,3
2021-08-01,Andhra Pradesh,2-Wheelers,666,58473,1.14,2021,8,Aug,57807,3
2021-08-01,Andhra Pradesh,4-Wheelers,78,8245,0.95,2021,8,Aug,8167,3
2021-08-01,Arunachal Pradesh,2-Wheelers,0,1126,0.0,2021,8,Aug,1126,3
2021-08-01,Arunachal Pradesh,4-Wheelers,0,758,0.0,2021,8,Aug,758,3
2021-08-01,Assam,2-Wheelers,26,25097,0.1,2021,8,Aug,25071,3
2021-08-01,Assam,4-Wheelers,2,6447,0.03,2021,8,Aug,6445,3
2021-08-01,Bihar,2-Wheelers,191,54618,0.35,2021,8,Aug,54427,3
2021-08-01,Bihar,4-Wheelers,7,5724,0.12,2021,8,Aug,5717,3
2021-08-01,Chandigarh,2-Wheelers,19,1380,1.38,2021,8,Aug,1361,3
2021-08-01,Chandigarh,4-Wheelers,9,1845,0.49,2021,8,Aug,1836,3
2021-08-01,Chhattisgarh,2-Wheelers,238,27491,0.87,2021,8,Aug,27253,3
2021-08-01,Chhattisgarh,4-Wheelers,11,4350,0.25,2021,8,Aug,4339,3
2021-08-01,DNH and DD,2-Wheelers,2,584,0.34,2021,8,Aug,582,3
2021-08-01,DNH and DD,4-Wheelers,0,321,0.0,2021,8,Aug,321,3
2021-08-01,Delhi,2-Wheelers,995,26069,3.82,2021,8,Aug,25074,3
2021-08-01,Delhi,4-Wheelers,157,13177,1.19,2021,8,Aug,13020,3
2021-08-01,Goa,2-Wheelers,22,2316,0.95,2021,8,Aug,2294,3
2021-08-01,Goa,4-Wheelers,19,1439,1.32,2021,8,Aug,1420,3
2021-08-01,Gujarat,2-Wheelers,584,54721,1.07,2021,8,Aug,54137,3
2021-08-01,Gujarat,4-Wheelers,83,20394,0.41,2021,8,Aug,20311,3
2021-08-01,Haryana,2-Wheelers,441,30342,1.45,2021,8,Aug,29901,3
2021-08-01,Haryana,4-Wheelers,3,16027,0.02,2021,8,Aug,16024,3
2021-08-01,Himachal Pradesh,2-Wheelers,32,5430,0.59,2021,8,Aug,5398,3
2021-08-01,Himachal Pradesh,4-Wheelers,0,3641,0.0,2021,8,Aug,3641,3
2021-08-01,Jammu and Kashmir,2-Wheelers,122,9978,1.22,2021,8,Aug,9856,3
2021-08-01,Jammu and Kashmir,4-Wheelers,0,5430,0.0,2021,8,Aug,5430,3
