date,year,month,maker,vehicle_category,electric_vehicles_sold,cumulative_sales,maker_rank,market_position,leader_gap_pct,performance_vs_avg,market_share_fraction,hhi_index,market_concentration,effective_competitors,market_share_tier,share_change_status,dual_segment_presence,primary_segment,primary_segment_contribution,segment_specialization
2022-04-01,2022,April,Tata Motors,4-Wheelers,1409,14117,1.0,Market Leader,0.0,5.27,0.6265006669630947,0.47264779109375415,Highly Concentrated,2.1,>30%,Strong Loss,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,MG Motor,4-Wheelers,177,1824,3.0,Top 3,87.44,-0.21,0.0787016451756336,0.47264779109375415,Highly Concentrated,2.1,5-10%,Strong Gain,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,Mahindra and Mahindra,4-Wheelers,611,4653,2.0,Top 3,56.64,1.72,0.2716763005780346,0.47264779109375415,Highly Concentrated,2.1,20-30%,Strong Gain,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,BYD India,4-Wheelers,15,48,5.0,Top 5,98.94,-0.93,0.0066696309470875,0.47264779109375415,Highly Concentrated,2.1,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,Hyundai Motor,4-Wheelers,17,127,4.0,Top 5,98.79,-0.92,0.0075589150733659,0.47264779109375415,Highly Concentrated,2.1,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,BMW India,4-Wheelers,12,19,6.0,Top 10,99.15,-0.95,0.00533570475767,0.47264779109375415,Highly Concentrated,2.1,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,Mercedes-Benz AG,4-Wheelers,8,34,7.0,Top 10,99.43,-0.96,0.0035571365051133,0.47264779109375415,Highly Concentrated,2.1,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,Tata Motors,4-Wheelers,364,41118,2.0,Top 3,92.54,-0.39,0.0606262491672218,0.6680055845514493,Highly Concentrated,1.5,5-10%,Strong Loss,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,MG Motor,4-Wheelers,265,5189,3.0,Top 3,94.57,-0.56,0.0441372418387741,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,Mahindra and Mahindra,4-Wheelers,4880,22727,1.0,Market Leader,0.0,7.13,0.8127914723517655,0.6680055845514493,Highly Concentrated,1.5,>30%,Strong Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,BYD India,4-Wheelers,156,1109,5.0,Top 5,96.8,-0.74,0.0259826782145236,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Loss,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,Hyundai Motor,4-Wheelers,42,728,7.0,Top 10,99.14,-0.93,0.0069953364423717,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,PCA Automobiles,4-Wheelers,181,332,4.0,Top 5,96.29,-0.7,0.0301465689540306,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,BMW India,4-Wheelers,51,343,6.0,Top 10,98.95,-0.92,0.0084943371085942,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,Mercedes-Benz AG,4-Wheelers,8,105,10.0,Top 10,99.84,-0.99,0.0013324450366422,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,Volvo Auto India,4-Wheelers,27,136,9.0,Top 10,99.45,-0.96,0.0044970019986675,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2023-04-01,2023,April,KIA Motors,4-Wheelers,30,259,8.0,Top 10,99.39,-0.95,0.0049966688874083,0.6680055845514493,Highly Concentrated,1.5,<5%,Slight Gain,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,Tata Motors,4-Wheelers,137,459,1.0,Market Leader,0.0,4.33,0.5330739299610895,0.3994458659480083,Highly Concentrated,2.5,>30%,Slight Gain,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,MG Motor,4-Wheelers,39,157,3.0,Top 3,71.53,0.52,0.1517509727626459,0.3994458659480083,Highly Concentrated,2.5,10-20%,Strong Loss,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,Mahindra and Mahindra,4-Wheelers,78,249,2.0,Top 3,43.07,2.04,0.3035019455252918,0.3994458659480083,Highly Concentrated,2.5,>30%,Strong Gain,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,Hyundai Motor,4-Wheelers,3,15,4.0,Top 5,97.81,-0.88,0.0116731517509727,0.3994458659480083,Highly Concentrated,2.5,<5%,Slight Loss,0,4-Wheelers,1.0,1.0
2022-05-01,2022,May,Tata Motors,4-Wheelers,2097,16214,1.0,Market Leader,0.0,6.09,0.7086853666779317,0.550313219497147,Highly Concentrated,1.8,>30%,Strong Gain,0,4-Wheelers,1.0,1.0
2022-05-01,2022,May,MG Motor,4-Wheelers,181,2005,3.0,Top 3,91.37,-0.39,0.061169313957418,0.550313219497147,Highly Concentrated,1.8,5-10%,Slight Loss,0,4-Wheelers,1.0,1.0
